price_monthly,rooms,total_area,living_area,kitchen_area,floor,total_floors,build_year,bathroom_type,balcony,renovation,building_series,building_type,ceiling_type,entrances,heating,is_emergency,district,subdistrict,metro_name,metro_time_minutes,residential_complex,utilities_included,deposit,has_commission,prepayment_months,min_lease_term,living_conditions,has_fridge,has_dishwasher,has_washing_machine,has_conditioner,has_tv,has_internet,has_bath,has_shower,has_kitchen_furniture,has_room_furniture,description,agent_type,url
1100000.0,2.0,122.0,100.0,10.0,5.0,7.0,2008.0,2 совмещенных,1 балкон,Дизайнерский,Индивидуальный проект,Кирпичный,Железобетонные,6.0,Автономная котельная,0.0,ЦАО,р-н Хамовники,Кропоткинская,9.0,ЖК «Barkli Plaza (Баркли Плаза)»,1.0,1100000.0,0.0,1 месяц,от года,можно с детьми,1,1,1,1,1,1,1,1,1,1,"АГЕНТУ МАКСИМАЛЬНЫЙ БОНУС! Элитный ЖК ""Баркли - Плаза"" в районе Золотой Мили построен по проекту известного архитектора. 2/3-х комнатная квартира студийной планировки с высококачественным дорогим дизайнерским ремонтом без излишнего пафоса и с уникальными видовыми характеристиками - Москва-река, Красный Октябрь и Петр-I видны как на ладони за счет панорамного остекления и высотой потолка более 5 метров. Функциональная планировка квартиры: гостиная совмещенная с кухней и обеденной зоной, спальня со своим санузлом, гардеробной комнатой и рабочим местом с возможностью изолирования от спальни, гостевой санузел и еще одна гардеробная. Кухня-трансформер, дорогое оборудование и посуда, кофемашина и очищенная питьевая вода в доме. Особенности планировки - 1 спальня может трансформироваться по желанию в спальню и в кабинет с выдвижной стеной на пульте, диван-кровать в кабинете, мастер-ванная с музыкой, гостевой санузел, две гардеробные. Мебель ""Giorgetti"", система умный дом, система очистки воздуха и кондиционирования (три независимые системы кондиционирования, принудительная приточно-вытяжная вентиляция: очищенный, подогретый, увлажненный воздух 1000м^3 в час.), звукоизоляция, музыка Hi-end для ценителей, система очистки воды, спутниковое ТВ, интернет. Одно машиноместо в подземном паркинге входит в стоимость (при необходимости есть возможность аренды второго). В арендную ставку включены генеральная уборка 1 раз в неделю, услуги аквариумиста и все платежи за квартиру. Даниил",agency,https://www.cian.ru/rent/flat/154971500/
47000.0,1.0,35.0,17.0,5.0,1.0,5.0,1967.0,,,Косметический,1-515,Панельный,Нет информации,9.0,Центральное,0.0,ул. Академика Арцимовича,5К3,Беляево,11.0,,1.0,47000.0,,1 месяц,от года,можно с детьми,1,0,0,0,0,0,1,0,1,1,"Объявление снято с публикации, поищите ещё что-нибудь",,https://www.cian.ru/rent/flat/157864857/
110000.0,2.0,70.0,38.0,10.0,23.0,25.0,2018.0,2 раздельных,,Дизайнерский,Индивидуальный проект,,Железобетонные,3.0,Индивидуальный тепловой пункт,0.0,ЗАО,р-н Солнцево,Говорово,7.0,ЖК «Мещерский лес»,1.0,110000.0,0.0,1 месяц,от года,можно с детьми и животными,1,0,1,1,1,1,1,0,1,1,"Цена актуальная, комиссии нет,метро 5 минут,животные обсуждаются.
 ЗАО.Просторная, со вкусом обставленная квартира в ЖК Мещерский Лес. Большие панорамные окна с видом на всю Москву, 23 этаж. В квартире имеется вся современная мебель и техника для комфортной жизни, интернет,  телевидение,2 санузла, кондиционеры.В доме 3 бесшумных, скоростных лифта, наземый и крытый  многоуровневый паркинг(есть возможность аренды машиноместа) , охраняемый двор с ландшафтным дизайном и променадом, бесплатный вай-фай на всей территории. На первых этажах комплекса вся инфраструктура-кафе, рестораны, супермаркеты, мед. центр,спа,салоны красоты.В шаговой доступности от дома сосновый парк с велодорожками, площадками для занятий спортом, оборудованные зоны отдыха с шезлонгами и шикарный пляж с белым песком. Метро(5 минут пешком)расположено напротив дома(прямая ветка до Делового центра) и 25 минут езды до центра столицы.Возможно проживание с небольшой собачкой.Кошки не рассматриваются.Предложение БЕЗ КОМИССИИ.",,https://www.cian.ru/rent/flat/182526793/
550000.0,3.0,150.0,,,25.0,53.0,2011.0,"2 совмещенных, 1 раздельный",,Дизайнерский,Индивидуальный проект,Монолитный,Железобетонные,4.0,Индивидуальный тепловой пункт,0.0,ЗАО,р-н Раменки,Поклонная,21.0,ЖК «Дом на Мосфильмовской»,1.0,750000.0,0.0,1 месяц,от года,,1,1,1,1,1,1,1,1,1,1,"Видовая современная трехкомнатная квартира в доме де Люкс класса. Проект квартиры создан европейским дизайнерским бюро Dopo Domani International Interior Design.
Планировка: гостиная, кухня-столовая, 2 спальни, 2 санузла, гардеробная и
постирочная.
Мебель от ведущих производителей, лучшая бытовая техника (холодильник и винный
шкаф Liebherr, духовка и СВЧ Neff, индукционная плита и посудомоечная машина
Siemens, стиральная машина Miele). Автономная система приточно-вытяжной
вентиляции и кондиционирования Daikin, фильтры очистки воды. Посуда Villeroy&Boch.
Кухонная столешница, подоконники и многие другие дизайнерские элементы
выполнены из различных видов ценного мрамора. Камин, эксклюзивные люстры и
шторы.
На лестничной площадке установлена дополнительная дверь с автоматическим
приводом и кодовым замком.
Из окон открываются виды на центр города, Воробьевы горы, Москва-реку, Сити, гольф-
клуб, Поклонную гору.
Окна квартир открывают великолепные виды на Парк Победы, Новодевичий монастырь,
озера гольф-клуба, парк МГУ и всю огромную панораму столицы. Прекрасное
расположение Дома гарантирует хорошую транспортную
доступность",agency,https://www.cian.ru/rent/flat/195164445/
130000.0,2.0,53.0,31.0,6.0,5.0,9.0,1973.0,1 раздельный,"1 лоджия, 1 балкон",Дизайнерский,,Кирпичный,Железобетонные,5.0,Центральное,0.0,ЦАО,р-н Тверской,Достоевская,6.0,,1.0,120000.0,0.0,1 месяц,от года,можно с детьми,1,1,1,1,1,1,1,0,1,1,"Квартира от собственника без посредников в кирпичном 9-ти этажным доме Совета министров СССР постройки 1973 года. Тихий двор, утопающий в зелени. Дизайнерский ремонт в стиле ЛОФТ. Минимум мебели и максимум и свободного пространства. Отреставрированная мебель 70-х годов, авторские предметы интерьера из массива дуба. Вся необходимая бытовая техника, включая посудомоечную и стиральную машины. В комнатах кондиционеры. 
В шаговой доступности Екатерининский парк, Самотечный сквер, Делегатский парк. В соседних домах магазины Азбука вкуса, Пятерочка. кафе ПРАВДА КОФЕ, рестораны ДаПино, Итальянец, Пита&Сувлаки. Парковка во дворе со шлагбаумами.",,https://www.cian.ru/rent/flat/203500577/
95000.0,3.0,76.0,,10.0,6.0,9.0,1995.0,1 раздельный,"1 лоджия, 1 балкон",Дизайнерский,П-3М,Панельный,Железобетонные,8.0,Центральное,0.0,ЮВАО,р-н Марьино,Марьино,15.0,,1.0,95000.0,0.0,1 месяц,от года,можно с детьми,1,1,1,0,0,1,1,0,1,1,Сдается на длительный срок российской семье с детьми без домашних животных трехкомнатная меблированная квартира с дизайнерским ремонтом и видом на парк 850-летия Москвы и Москву-реку.,,https://www.cian.ru/rent/flat/205464874/
130000.0,1.0,42.0,35.0,7.0,8.0,14.0,1971.0,1 совмещенный,1 лоджия,Дизайнерский,И-209А,Блочный,Железобетонные,1.0,Центральное,0.0,ЦАО,р-н Замоскворечье,Павелецкая,6.0,,1.0,50000.0,0.0,1 месяц,несколько месяцев,можно с детьми,1,1,1,1,1,1,0,1,1,1,"СОБСТВЕННИК ! Без комиссий !
Сдается с 15 декабря на 1-2-3-4 месяца !
Сдается на среднесрок - от 1 до 4 месяцев ! Годовой контракт не заключаем !

1 месяц - 130.000 рублей / месяц
2-3 месяца - 120.000 рублей / месяц
4 месяца - 110.000 рублей / месяц

В стоимость входит уборка 1 раз в неделю и все коммунальные платежи !

Остановитесь в уютной и стильной квартире премиум-класса, получив сервис пятизвездочных отелей. Это тот уникальный случай, когда вживую апартаменты выглядят намного интереснее чем на фото !

Cвежий качественный дизайнерский ремонт. 

Квартира спроектирована и оформлена по Феншую в прямом и переносном смысле. Все очень удобно, гармонично и стильно.

В квартире есть все для комфортного проживания:
чистое постельное белье, полотенца, тапочки, средства личной гигиены, мыло, шампунь, гель для душа, зубная паста, зубная щетка, средства по уходу за обувью, посуда, микроволновая печь, духовая печь, посудомоечная машина, чайник, холодильник, капсульная кофемашина Nespresso, фен, 2 телевизора (110 кабельных каналов HD качества), бесплатный высокоскоростной интернет (Wi-Fi), кондиционер, стиральная машина, металлическая дверь, видео-домофон !

Чай, кофе, сахар и другие продукты первой необходимости бесплатно !

Квартира полностью мебелирована ! 2 спальных места: широкая двуспальная кровать + диван кровать ! Обеденная зона - полубарная стойка. Санузел совмещен. 

Расположение:

Квартира расположена в историческом центре Москвы: район Замоскворечье в 100 метрах от Садового кольца и 3 минутах ходьбы от ближайшей станции метро.

Выйдя из дома вы можете прогуляться по уютной Пятницкой улице, где вы найдете огромнейшее количество баров, ресторанов и других развлекательных заведений.

Всего за 20-25 минут пешком вы дойдете до Красной площади. Также не более 20 минут займет неспешная прогулка до Парка Горького, Третьяковской Галлереи и других основных культурно-досуговых мест столицы.

Продуктовый магазин находится в минуте ходьбы от дома и работает круглосуточно !

Вся нужная для комфортной жизни инфраструктура в доступе, все рядом, район максимально безопасный и оживленный ! Однако в самой квартире тихо и уютно, никакой шум не сможем разбудить вас или вашего ребенка ночью !

Транспортная доступность:

Апартаменты расположены между 3 станциями метро:
Добрынинская (3 минуты пешком), Павелецкая (3 минуты пешком), Третьяковская (7 минут пешком).

Около дома на Садовом кольце находится автобусная остановка. Автобусы курсируют по всему садовому кольцу круглосуточно.

Также вы можете воспользоваться городским велопрокатом, который находится около автобусной остановки. Возьмите в аренду велосипед и прокатитесь по всему центру Москвы !

Собственной парковки нет. Около дома общественная городская платная парковка  60 рублей/час.",,https://www.cian.ru/rent/flat/213705950/
55000.0,1.0,32.0,18.0,7.0,6.0,9.0,1973.0,1 совмещенный,1 балкон,Евроремонт,,Кирпичный,Железобетонные,8.0,Центральное,0.0,ВАО,р-н Богородское,Белокаменная,22.0,,1.0,55000.0,,1 месяц,от года,можно с детьми и животными,1,0,1,0,1,1,1,0,1,1,"Кирпичный дом. Bыcота потoлкoв 2.7 мeтpа. Качественный  свежий ремонт под ЕВРО. Имеется вся необходимая для комфортного проживания мебель и бытовая техника : холодильник, микроволновая печь, стиральная машина, кофе машина, телевизор с аndrоid tv, интернет, новый утюг и тд. Кухня и комната меблированы, в комнате отличный диван кровать фирмы 8 марта, новый вместительный шкаф. Совмещенный санузел, душевая кабина. Также в квартире есть балкон. Спокойный, очень зеленый район, рядом парк Сокольники, Лосиный остров, ВДНХ. Дом в хорошем состоянии, оборудован пассажирским лифтом и мусоропроводом. Парковка во дворе, всегда есть свободные места. В районе развитая инфраструктура: рядом школы, детские сады, клиники и магазины. До метро Белокаменная можно дойти пешком за 22 минуты, несколько остановок на трамвае ВДНХ, Преображенская площадь, Бульвар Рокоссовского. Рассмотрим приличных и платёжеспособных квартирантов, можно с ребёнком и небольшими животными. Оперативный показ, звоните.",,https://www.cian.ru/rent/flat/216806435/
100000.0,2.0,60.0,41.0,14.0,6.0,12.0,2019.0,"1 совмещенный, 1 раздельный",1 лоджия,Дизайнерский,Индивидуальный проект,Монолитный,Железобетонные,8.0,Центральное,0.0,ЗАО,р-н Солнцево,Солнцево,8.0,ЖК «Лучи»,1.0,105000.0,0.0,1 месяц,от года,можно с детьми,1,1,1,1,1,1,1,0,1,1,"Сдается квартира в новом доме. 
СОБСТВЕННИК. 
БЕЗ КОМИССИИ. 
2 раздельные комнаты, 2 санузла с теплыми полами, кухня и балкон. 
Все техника  и мебель - в отличном состоянии 
Холодильник, ПММ, вытяжка, варочная панель, духовка - Bosch. 
Сантехника - Grohe/Roca. 
Телевизор Samsung 60 в комнате. 
Телевизор 43 на кухне. 
Бойлер 80 литров. 
Сплит-кондиционер в каждой комнате. 
Утепленный балкон с теплым полом. 
Двор без машин. 
Подземный паркинг (за отдельную плату). 
До МГУ 18 мин. на метро.
Строго без животных, даже маленьких.",,https://www.cian.ru/rent/flat/223510533/
125000.0,2.0,70.0,,15.0,4.0,34.0,2008.0,1 совмещенный,,Евроремонт,Индивидуальный проект,Монолитный,Железобетонные,8.0,Центральное,0.0,САО,р-н Аэропорт,Аэропорт,14.0,ЖК «Аэробус»,1.0,125000.0,0.0,1 месяц,от года,можно с детьми,1,1,1,1,1,1,1,0,1,1,"Элегантная квартира в неброских тонах! Квартира  в современном, монолитном жилом комплексе Аэробус с собственной огороженной территорией. Готова для вашего проживания на следующий день после подписание договора! Квартира с очень удачной и удобной планировкой. Ремонт сделан очень качественно. В холле располагается большой шкаф_купе, в котором есть возможность хранить множество вещей. Окна выходят во двор на одну сторону, комнаты просторные и очень светлые. Полы- массив дуба. Панорамное остекление. Идеальное предложение для семей с детьми, за которыми можно наблюдать прямо из окна вашей квартиры. В каждой комнате находятся крупные шкафы, в которые вместятся все необходимые вещи. Все комнаты оборудованы кондиционерами и плазменными панелями. Кухня- студия оборудована всей необходимой техникой: посудомоечная машина, микроволновая печь, духовой шкаф, варочная панель, вытяжка, холодильник, подогреваемый пол. Множество шкафов для хранения кухонной утвари. Санузел оборудован ванной, шкафом для хранения, подогреваемым полом, бойлер. Вся мебель и техника импортные. На территории комплекса находятся большая детская площадка, много скамеек для отдыха, газоны, футбольная коробка, турники, отдельная зона для выгула собак, магазины фермерских продуктов, супермаркеты, кафе, химчистка, салоны красоты, медицинские центры, спортивные клубы. В шаговой доступности детские сады, школы, студии детского развития. Дом находится в 10 минутах ходьбы от метро Аэропорт, очень теплый, толстые монолитные стены, три лифта, консьерж, пропускная система. Презентабельная входная группа. На каждом этаже по 3 квартиры, холлы чистые и светлые. На этаже имеется тамбур для дополнительного хранения вещей. В подъезде имеется 3-х этажная парковка, с отдельным.",,https://www.cian.ru/rent/flat/223636298/
